link,depth,story_tags_list,cover_img,title,Lượt đọc,Lượt bình chọn,Chương,recommended_stories,badges,Thời gian
https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n,1,"['dammei', 'dammy', 'dị', 'kinhphong', 'thápliễu', 'vôhạnlưu', 'đam', 'đammỹ']",https://img.wattpad.com/cover/247068937-256-k146326.jpg,1️⃣ [ĐM/EDIT] Tôi Phong Thần Trong Trò Chơi Vô Hạn (Từ c1-c199),"Lượt đọc 1,526,008","Lượt bình chọn 210,554",Chương 200,"['https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h']",['Đang sáng tác'],
https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center,1,"['nhẹnhàng', 'vôhạnlưu', 'đammỹ']",https://img.wattpad.com/cover/309985442-256-k307756.jpg,Trong Show Tống Nghệ Kinh Dị Debut Vị Trí Center,"Lượt đọc 96,695","Lượt bình chọn 14,606",Chương 88,"['https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn']",['Đang sáng tác'],
https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris,1,"['cris', 'hieucris', 'hieucrishuy', 'huycris', 'kinhdi', 'mafia', 'máume', 'sátthủ', 'trùngsinh', 'tâmlinh']",https://img.wattpad.com/cover/355752587-256-k959124.jpg,ĐÔI MẮT MÀU MÁU (HiếuCris)(HuyCris),"Lượt đọc 8,147","Lượt bình chọn 1,446",Chương 39,"['https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0']",['Đang sáng tác'],
https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95,1,"['1x1', 'hiendai', 'khatmua', 'khatvu', 'kinhdi', 'ndmot99', 'nguyênsang', 'openending', 'tinhcam', 'tâmlinh', 'zhihu']",https://img.wattpad.com/cover/324735196-256-k426835.jpg,Lòng người như rắn: Nam hoan nữ ái sau lưng cổ giáng - Khát Vũ,"Lượt đọc 187,742","Lượt bình chọn 6,664",,"['https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95']",['Hoàn thành'],
https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc,1,['dammy'],https://img.wattpad.com/cover/247350087-256-k990271.jpg,Thiên Quan Tứ Phúc,,,,"['https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h']",,
https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus,1,"['choiwooje', 'jeonglee', 'moonhyeonjoon', 'on2eus', 'oner', 'zeus']",https://img.wattpad.com/cover/353970676-256-k9621.jpg,Giả O sẽ bị cắn. |On2eus|,"Lượt đọc 151,261","Lượt bình chọn 12,770",Chương 77,"['https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h']",['Hoàn thành'],
https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1,1,"['danmei', 'trinhthám', 'đammỹ', 'đồngniên']",https://img.wattpad.com/cover/354525797-256-k731027.jpg,(full). lời giải T - cửu thập hạ,"Lượt đọc 8,538","Lượt bình chọn 1,209",Chương 83,"['https://www.wattpad.com/story/286842834-wei-sama-let%27s-stuff-them-with-dog-food-1', 'https://www.wattpad.com/story/258988004-i-got-bitten-after-transmigrating-into-a-pseudo', 'https://www.wattpad.com/story/290443842-bl-rebirth-of-the-little-mute', 'https://www.wattpad.com/story/159359253-edit-sau-v%E1%BB%B1c-th%E1%BA%B3m-l%C3%A0-m%E1%BB%99t-c%C3%A1nh-%C4%91%E1%BB%93ng-hoa-di%E1%BB%87p-tr%E1%BA%A7n', 'https://www.wattpad.com/story/207869211-sinh-ho%E1%BA%A1t-h%C6%B0%E1%BB%9Dng-ph%E1%BA%A5n-c%E1%BB%A7a-b%C3%A1c-s%C4%A9-x%E1%BA%A5u-xa-edit-h-v%C4%83n', 'https://www.wattpad.com/story/212759268-m%E1%BB%99t-l%E1%BA%A7n-%C4%83n-c%E1%BA%A3-nh%C3%A0-edit-cao-h-np-ho%C3%A0n', 'https://www.wattpad.com/story/286293283-i-got-my-bad-side-awakened-after-rebirth', 'https://www.wattpad.com/story/205172665-bts-m%E1%BB%99ng-%E1%BA%A3o-%E2%9C%94%EF%B8%8F', 'https://www.wattpad.com/story/264258897-the-villain-just-wants-to-be-a-salted-fish', 'https://www.wattpad.com/story/288390083-after-marriage-with-a-disabled-gangster-bl-mtl-%E2%9C%94']",['Hoàn thành'],
https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn,1,['allreo'],https://img.wattpad.com/cover/357126482-256-k963444.jpg,|AllReo| Cổ tích của người lớn,"Lượt đọc 11,409","Lượt bình chọn 1,037",Chương 56,"['https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h']",['Đang sáng tác'],
https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95,1,"['1x1', 'hiendai', 'khatmua', 'khatvu', 'kinhdi', 'ndmot99', 'nguyênsang', 'openending', 'tinhcam', 'tâmlinh', 'zhihu']",https://img.wattpad.com/cover/324735196-256-k426835.jpg,Lòng người như rắn: Nam hoan nữ ái sau lưng cổ giáng - Khát Vũ,"Lượt đọc 187,742","Lượt bình chọn 6,664",,"['https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95']",['Hoàn thành'],
https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris,1,"['cris', 'hieucris', 'hieucrishuy', 'huycris', 'kinhdi', 'mafia', 'máume', 'sátthủ', 'trùngsinh', 'tâmlinh']",https://img.wattpad.com/cover/355752587-256-k959124.jpg,ĐÔI MẮT MÀU MÁU (HiếuCris)(HuyCris),"Lượt đọc 8,147","Lượt bình chọn 1,446",Chương 39,"['https://www.wattpad.com/story/279042266-wed-or-dead', 'https://www.wattpad.com/story/268894128-property-of-vittore-martinelli-%E2%9C%93', 'https://www.wattpad.com/story/296365358-d%E1%BB%8Bch-s%E1%BB%A7ng-em-t%E1%BA%ADn-x%C6%B0%C6%A1ng', 'https://www.wattpad.com/story/239921112-the-prodigy-%E2%9C%94%EF%B8%8E', 'https://www.wattpad.com/story/163946273-th%E1%BA%BF-gi%E1%BB%9Bi-y%C3%AAu-th%C6%B0%C6%A1ng-tr%E1%BB%8B-t%E1%BB%8Da-ho%C3%A0i', 'https://www.wattpad.com/story/256033269-the-mafia-king-%E2%9C%94-the-mafia-chronicles-1', 'https://www.wattpad.com/story/198677569-ace', 'https://www.wattpad.com/story/32171717-luciano-book-i-%E2%9C%93', 'https://www.wattpad.com/story/166055529-ho%C3%A0n-cu%E1%BB%93ng-h%E1%BA%ADu-ngoan-ngo%C3%A3n-%C4%91%E1%BB%83-tr%E1%BA%ABm-s%E1%BB%A7ng-th%E1%BB%A7y', 'https://www.wattpad.com/story/124054955-qu%C3%BD-n%E1%BB%AF-t%C6%B0%E1%BB%9Bng-s%C6%B0-h%E1%BB%93ng-tr%E1%BA%A7n-huy%E1%BB%85n']",['Đang sáng tác'],
https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n,1,"['dammei', 'dammy', 'dị', 'kinhphong', 'thápliễu', 'vôhạnlưu', 'đam', 'đammỹ']",https://img.wattpad.com/cover/247068937-256-k146326.jpg,1️⃣ [ĐM/EDIT] Tôi Phong Thần Trong Trò Chơi Vô Hạn (Từ c1-c199),"Lượt đọc 1,526,008","Lượt bình chọn 210,554",Chương 200,"['https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn']",['Đang sáng tác'],
https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h,1,"['18', 'bdsm', 'bhtt', 'girllove', 'happyending', 'lesbian', 'thaotúng']",https://img.wattpad.com/cover/358583971-256-k40505.jpg,[BHTT-EDIT-Hoàn] Thao túng tim tôi (có H),"Lượt đọc 41,626","Lượt bình chọn 1,602",Chương 78,"['https://www.wattpad.com/story/167567190-my-crush-on-the-cheerleader-gxg', 'https://www.wattpad.com/story/260770475-roommates-gxg', 'https://www.wattpad.com/story/263180997-bhtt-edit-ho%C3%A0n-h%C6%B0%E1%BB%9Bng-%C4%91%C3%B4ng-l%C6%B0u-giang-nh%E1%BA%A5t-th%E1%BB%A7y', 'https://www.wattpad.com/story/32639902-the-alpha%27s-trap', 'https://www.wattpad.com/story/158648623-bhtt-h%C4%91-t%E1%BB%95ng-t%C3%A0i-l%E1%BA%A1i-k%C3%AAu-ta-%C4%91i-nh%C3%A0-n%C3%A0ng-ta-l%C3%A0', 'https://www.wattpad.com/story/245513859-kneel-manxman-bdsm-18%2B-%E2%9C%94%EF%B8%8F', 'https://www.wattpad.com/story/174831312-bhtt-edit-ho%C3%A0n-ng%C3%A3-vi-ng%C6%B0-nh%E1%BB%A5c-p2-ninh-vi%E1%BB%85n', 'https://www.wattpad.com/story/35022704-if-i-fall-girlxgirl', 'https://www.wattpad.com/story/53773390-why-so-sexy-miss-evans-girlxgirl-teacherxstudent', 'https://www.wattpad.com/story/155689101-bh-edit-ho%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91ang-vi%E1%BA%BFt-ch%E1%BB%AF-b%C3%ACnh-qu%E1%BA%A3-nh%E1%BA%A5t']",['Hoàn thành'],
https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0,1,['allbin'],https://img.wattpad.com/cover/354344438-256-k495360.jpg,( allbin) xuyên không trở thành pháp sư,"Lượt đọc 28,898","Lượt bình chọn 3,598",Chương 124,"['https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center']",['Đang sáng tác'],
